t,IAA,IAAn,IBB,IBBn,IAB,IABn,IBA,IBAn
0.0232,1692000,49000,876400,49000,452800,49000,390500,49000
0.0432,1420000,49000,702400,49000,472300,49000,457000,49000
0.0632,1302000,47000,615200,47000,523500,47000,488200,47000
0.0832,1245000,45000,589500,45000,528500,45000,501800,45000
0.1032,1118000,44000,599800,44000,587100,44000,518800,44000
0.1432,931000,41000,563000,41000,535900,41000,454200,41000
0.2232,704900,37000,384200,37000,447700,37000,449900,37000
0.3032,574400,34000,276100,34000,346000,34000,437200,34000
0.5832,267200,25500,79350,25500,158800,25500,141100,25500
0.8032,3791,23000,18330,23000,5812,23000,38630,23000
